Id,Review,Sentiment
1,So there is no way for me to plug it in here in the US unless I go by a converter.,0
2,"Good case, Excellent value.",1
3,Great for the jawbone.,1
4,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
5,The mic is great.,1
6,I have to jiggle the plug to get it to line up right to get decent volume.,0
7,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
8,If you are Razr owner...you must have this!,1
9,"Needless to say, I wasted my money.",0
10,What a waste of money and time!.,0
11,And the sound quality is great.,1
12,He was very impressed when going from the original battery to the extended battery.,1
13,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
14,Very good quality though,1
15,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
16,Highly recommend for any one who has a blue tooth phone.,1
17,I advise EVERYONE DO NOT BE FOOLED!,0
18,So Far So Good!.,1
19,Works great!.,1
20,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
21,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
22,I bought this to use with my Kindle Fire and absolutely loved it!,1
23,The commercials are the most misleading.,0
24,I have yet to run this new battery below two bars and that's three days without charging.,1
25,I bought it for my mother and she had a problem with the battery.,0
26,Great Pocket PC / phone combination.,1
27,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
28,I didn't think that the instructions provided were helpful to me.,0
29,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
30,Doesn't hold charge.,0
31,"This is a simple little phone to use, but the breakage is unacceptible.",0
32,This product is ideal for people like me whose ears are very sensitive.,1
33,It is unusable in a moving car at freeway speed.,0
34,I have two more years left in this contract and I hate this phone.,0
35,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
36,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
37,It has kept up very well.,1
38,Poor Talk Time Performance.,0
39,The case is great and works fine with the 680.,1
40,worthless product.,0
41,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
42,I was not impressed by this product.,0
43,Nice headset priced right.,1
44,I only hear garbage for audio.,0
45,Excellent bluetooth headset.,1
46,It has all the features I want,1
47,Who in their right mind is gonna buy this battery?.,0
